"International","FIFA.World.Cup","foreign"
"Brazil",2018,1
"Colombia",2018,1
"Costa Rica",2018,2
"Croatia",2018,15
"Denmark",2018,7
"Egypt",2018,1
"England",2018,10
"France",2018,19
"Germany",2018,16
"Iceland",2018,2
"Iran",2018,1
"Japan",2018,1
"Mexico",2018,1
"Morocco",2018,18
"Nigeria",2018,4
"Panama",2018,0
"Peru",2018,1
"Poland",2018,2
"Portugal",2018,10
"Russia",2018,17
"Saudi Arabia",2018,0
"Senegal",2018,9
"Serbia",2018,23
"South Korea",2018,0
"Spain",2018,5
"Sweden",2018,6
"Switzerland",2018,15
"Tunisia",2018,9
"Uruguay",2018,5
